Date,Cantidad_Fracturas
2010-01-01,2
2010-02-01,1
2010-04-01,4
2010-05-01,1
2010-07-01,1
2010-08-01,1
2010-09-01,6
2010-10-01,2
2010-11-01,7
2010-12-01,10
2011-02-01,9
2011-05-01,2
2011-07-01,1
2011-08-01,1
2011-09-01,2
2011-10-01,8
2011-11-01,7
2011-12-01,13
2012-01-01,19
2012-02-01,11
2012-03-01,10
2012-04-01,5
2012-05-01,12
2012-06-01,22
2012-07-01,14
2012-08-01,9
2012-09-01,6
2012-10-01,5
2012-11-01,15
2012-12-01,11
2013-01-01,40
2013-02-01,27
2013-03-01,24
2013-04-01,32
2013-05-01,70
2013-06-01,29
2013-07-01,50
2013-08-01,57
2013-09-01,68
2013-10-01,123
2013-11-01,130
2013-12-01,77
2014-01-01,103
2014-02-01,131
2014-03-01,120
2014-04-01,107
2014-05-01,150
2014-06-01,109
2014-07-01,133
2014-08-01,136
2014-09-01,114
2014-10-01,89
2014-11-01,94
2014-12-01,177
2015-01-01,134
2015-02-01,137
2015-03-01,123
2015-04-01,120
2015-05-01,152
2015-06-01,112
2015-07-01,167
2015-08-01,135
2015-09-01,152
2015-10-01,135
2015-11-01,200
2015-12-01,99
2016-01-01,185
2016-02-01,259
2016-03-01,171
2016-04-01,154
2016-05-01,193
2016-06-01,206
2016-07-01,263
2016-08-01,196
2016-09-01,122
2016-10-01,209
2016-11-01,171
2016-12-01,66
2017-01-01,167
2017-02-01,248
2017-03-01,120
2017-04-01,311
2017-05-01,221
2017-06-01,278
2017-07-01,341
2017-08-01,282
2017-09-01,464
2017-10-01,502
2017-11-01,452
2017-12-01,377
2018-01-01,524
2018-02-01,148
2018-03-01,266
2018-04-01,229
2018-05-01,452
2018-06-01,583
2018-07-01,535
2018-08-01,591
2018-09-01,282
2018-10-01,787
2018-11-01,512
2018-12-01,421
2019-01-01,391
2019-02-01,484
2019-03-01,560
2019-04-01,595
2019-05-01,615
2019-06-01,540
2019-07-01,504
2019-08-01,829
2019-09-01,631
2019-10-01,116
2019-11-01,556
2019-12-01,407
2020-01-01,371
2020-02-01,436
2020-03-01,402
2020-05-01,27
2020-06-01,149
2020-07-01,92
2020-08-01,15
2020-09-01,276
2020-10-01,503
2020-11-01,601
2020-12-01,347
2021-01-01,700
2021-02-01,527
2021-03-01,938
2021-04-01,278
2021-05-01,1018
2021-06-01,929
2021-07-01,1296
2021-08-01,961
2021-09-01,849
2021-10-01,744
2021-11-01,829
2021-12-01,1075
2022-01-01,559
2022-02-01,765
2022-03-01,728
2022-04-01,782
2022-05-01,1331
2022-06-01,994
2022-07-01,918
2022-08-01,1379
2022-09-01,1058
2022-10-01,1011
2022-11-01,868
2022-12-01,1361
2023-01-01,423
2023-02-01,1128
2023-03-01,871
2023-04-01,845
2023-05-01,1404
2023-06-01,650
2023-07-01,1154
2023-08-01,1386
2023-09-01,1206
2023-10-01,1020
2023-11-01,948
2023-12-01,825
2024-01-01,581
2024-02-01,1236
2024-03-01,892
2024-04-01,1771
2024-05-01,1326
2024-06-01,1213
2024-07-01,445
2024-08-01,1480
2024-09-01,719
2024-10-01,1282
2024-11-01,691
2024-12-01,951
2025-01-01,865
