Date,online_wells,oil_m3,gas_miles_m3,water_m3,inj_water_m3,inj_gas_m3
2006-01-01,195,1070.0105,32508.01064,993.13246,0,0
2006-02-01,196,994.50852,30792.90172,795.49068,0,0
2006-03-01,197,1136.835127,33042.57282,923.24665,0,0
2006-04-01,197,1113.681116,31362.11719,827.89328,0,0
2006-05-01,197,1505.214992,39218.73137,1358.45458,0,0
2006-06-01,197,1467.832153,38124.82757,1137.76933,0,0
2006-07-01,197,1475.698111,37548.03991,1098.25422,0,0
2006-08-01,197,1311.230974,38434.4518,1020.426577,0,0
2006-09-01,198,1256.969812,36859.72115,896.37783,0,0
2006-10-01,198,1290.427908,38664.79038,941.24409,0,0
2006-11-01,198,1251.115784,35477.16321,872.63397,0,0
2006-12-01,201,1528.70107,38175.529,870.765755,0,0
2007-01-01,200,1232.763036,34067.64663,733.043472,0,0
2007-02-01,201,1010.668527,30728.4059,740.0394,0,0
2007-03-01,201,994.600633,29886.32307,900.17209,0,0
2007-04-01,201,971.75244,30512.42571,955.26605,0,0
2007-05-01,201,1020.416027,35016.34638,1272.74475,0,0
2007-06-01,201,1024.418993,31988.52393,1009.87963,0,0
2007-07-01,204,4411.904199,40905.05417,4309.75077,0,0
2007-08-01,205,2433.837721,39760.25056,1914.30093,0,0
2007-09-01,206,2920.372838,36389.96812,2262.584693,0,0
2007-10-01,206,1945.535873,37475.09772,2346.75826,0,0
2007-11-01,207,1439.521617,35205.63744,1900.10687,0,0
2007-12-01,209,1610.6077,38166.97926,1639.130491,0,0
2008-01-01,212,1567.643083,36424.3294,1218.90568,0,0
2008-02-01,214,1447.607084,34608.93075,1108.11997,0,0
2008-03-01,219,1561.001675,40950.55928,1246.19997,0,0
2008-04-01,224,1392.128182,44653.23737,1992.56199,0,0
2008-05-01,223,2017.786149,47014.48165,1860.06651,0,0
2008-06-01,232,2956.030831,50855.93199,2077.648333,0,0
2008-07-01,238,3458.016568,59598.4805,2534.20492,0,0
2008-08-01,240,4342.156161,63405.38608,3310.39103,0,0
2008-09-01,115,4809.153406,74375.50639,4090.31284,0,0
2008-10-01,115,5328.51572,87574.40128,7169.72186,0,0
2008-11-01,117,5080.779695,83321.40014,5074.990989,0,0
2008-12-01,131,6144.553832,85099.34525,5429.636773,0,0
2009-01-01,128,6492.27653,88679.24625,6208.8638,0,0
2009-02-01,131,5524.152814,83706.34909,4562.968428,0,0
2009-03-01,142,6149.636227,96391.37864,5576.810168,0,0
2009-04-01,139,5290.817414,89232.13212,5163.264339,0,0
2009-05-01,140,6611.015623,92941.33914,4857.37468,0,0
2009-06-01,141,5769.645366,89362.54569,4611.28452,0,0
2009-07-01,143,5004.731435,84516.35611,7321.16325,0,0
2009-08-01,144,4994.234557,84006.31705,5287.13452,0,0
2009-09-01,146,5650.392723,85756.28621,10524.43717,0,0
2009-10-01,147,5646.479764,90937.81822,5018.344766,0,0
2009-11-01,147,4671.956903,72461.51155,4297.60679,0,0
2009-12-01,150,4295.218121,73215.78565,4820.16746,0,0
2010-01-01,151,4227.228007,86094.92515,4966.2184,0,0
2010-02-01,151,3696.917734,81490.01759,4997.02343,0,0
2010-03-01,152,4309.175325,97194.49842,5412.017,0,0
2010-04-01,155,4317.90055,92606.08688,4822.75233,0,0
2010-05-01,157,4917.064547,99457.08781,5350.26854,0,0
2010-06-01,167,5749.059704,103409.7887,6447.29263,0,0
2010-07-01,171,5723.107698,107560.0199,7380.20574,0,0
2010-08-01,176,6337.043212,111538.072,5632.32809,0,0
2010-09-01,183,6952.625365,110943.959,7340.83576,0,0
2010-10-01,187,6953.582121,121995.4703,7453.3766,0,0
2010-11-01,189,6524.609642,112505.3939,6847.3658,0,0
2010-12-01,199,7144.41784,128719.9456,10515.3038,0,0
2011-01-01,192,7427.909816,130587.7624,13880.3957,0,0
2011-02-01,198,5919.97516,110513.7674,13363.50196,0,0
2011-03-01,201,8095.18701,127651.76,14835.76465,0,0
2011-04-01,203,9521.468607,135559.4939,12516.51928,0,0
2011-05-01,206,10184.88473,150959.251,12491.89959,0,0
2011-06-01,211,9278.833077,156502.7829,11585.27576,0,0
2011-07-01,217,8691.271888,163863.7099,11311.47828,0,0
2011-08-01,222,12818.01751,175187.0373,14318.60909,0,0
2011-09-01,226,15604.16562,177453.4761,18377.32639,0,0
2011-10-01,232,19195.13064,177003.9871,18752.77789,0,0
2011-11-01,243,18723.61378,172548.09,18366.34369,0,0
2011-12-01,248,19729.95593,182200.2272,18678.23928,0,0
2012-01-01,256,20077.65774,175841.1145,19220.20085,0,0
2012-02-01,259,19875.54025,168931.6873,22714.92839,0,0
2012-03-01,275,22648.70121,184361.2483,22268.08581,0,0
2012-04-01,290,22070.35845,190084.4453,27285.0931,0,0
2012-05-01,296,24340.23586,209604.8646,26248.80521,0,0
2012-06-01,305,25595.97029,204900.1342,30348.22989,0,0
2012-07-01,311,26370.00011,215098.015,33170.22347,0,0
2012-08-01,317,28564.855,213813.8395,27045.78482,3694,0
2012-09-01,323,29312.91967,211917.5516,26566.3398,3654,0
2012-10-01,330,30049.26235,213688.4066,21783.57306,3683,0
2012-11-01,333,26802.9818,208954.1771,23576.66056,4558,0
2012-12-01,345,28312.74192,214697.503,23498.72326,0,0
2013-01-01,356,28712.66562,215535.9887,29785.83836,1240,0
2013-02-01,363,27629.49429,196252.2791,26343.17336,840,0
2013-03-01,376,31669.29167,223115.5967,39242.87211,930,0
2013-04-01,381,34245.09412,214975.3618,40587.56178,11,0
2013-05-01,401,39746.77241,223154.0424,36442.0026,10,0
2013-06-01,417,41253.99198,215733.6361,49408.63807,8,0
2013-07-01,435,50892.95069,240787.545,43896.8472,0,0
2013-08-01,448,52825.68815,254349.2648,44675.81462,0,0
2013-09-01,463,51762.84299,260444.0464,44395.40502,0,0
2013-10-01,493,60398.52779,281026.3422,72201.73391,0,0
2013-11-01,515,63971.78002,289067.2457,77820.91901,0,0
2013-12-01,536,73358.31091,323868.9695,69466.56953,0,0
2014-01-01,604,71334.14222,337512.212,61727.99376,0,0
2014-02-01,632,66109.39897,307345.6131,58135.00782,0,0
2014-03-01,658,71458.5075,336737.2382,70900.76733,0,0
2014-04-01,633,72724.13917,344478.8291,66426.67432,0,0
2014-05-01,705,81079.74588,396130.1684,84469.58567,0,0
2014-06-01,706,88031.75437,395442.8959,81676.48659,0,0
2014-07-01,775,95122.70801,432697.0986,90148.78258,0,0
2014-08-01,762,111261.8933,464178.1011,92345.52327,0,0
2014-09-01,811,114791.8761,458419.3958,95308.55312,0,0
2014-10-01,821,116720.2486,481686.3316,116952.3967,0,0
2014-11-01,820,115805.6159,488733.8033,116922.533,0,0
2014-12-01,850,117854.0414,520215.7837,124617.9972,0,0
2015-01-01,883,116466.0185,547708.0255,131830.0481,0,0
2015-02-01,925,107692.3351,495524.495,120384.6993,0,0
2015-03-01,957,121490.6935,569481.6208,115534.0191,0,0
2015-04-01,992,122410.7545,567225.1146,105003.7542,0,0
2015-05-01,1024,129556.3918,601952.5907,122964.7868,0,0
2015-06-01,1052,121049.2983,592767.9208,117973.2508,0,0
2015-07-01,1093,126701.4126,643805.0561,129721.0983,0,0
2015-08-01,1115,130732.8669,665128.6649,129437.7877,0,0
2015-09-01,1150,133951.3464,645696.0655,117842.1245,0,0
2015-10-01,1176,148815.8003,687591.9551,127780.7511,0,0
2015-11-01,1219,131988.4387,673614.4109,124465.3614,0,0
2015-12-01,1255,146050.177,730656.9148,136194.7924,0,0
2016-01-01,1283,145272.9806,737161.9144,118581.4718,0,0
2016-02-01,1315,130062.6139,710483.4691,131419.4418,0,0
2016-03-01,1355,146969.5608,792174.6176,174915.4154,0,0
2016-04-01,1379,155487.4144,805361.4753,148673.4761,0,0
2016-05-01,1408,161863.4456,873056.9047,160381.5533,0,0
2016-06-01,1437,170414.9506,854028.1992,151030.8047,0,0
2016-07-01,1455,181805.1356,901907.5491,162603.6493,0,0
2016-08-01,1475,189883.9255,907170.7099,172777.9022,0,0
2016-09-01,1503,188183.4743,871436.8511,160846.5376,0,0
2016-10-01,1516,199492.748,946702.522,167017.0649,0,0
2016-11-01,1540,189304.7168,904118.3782,160308.5971,0,0
2016-12-01,1559,209321.6051,938397.3085,143377.967,0,0
2017-01-01,1586,208497.9758,953725.4976,152538.8163,0,0
2017-02-01,1604,178511.2752,866396.2442,132096.5866,0,0
2017-03-01,1633,202093.8617,970698.0139,152764.8638,0,0
2017-04-01,1659,198199.8117,971465.7012,153896.7656,0,0
2017-05-01,1687,214393.464,1010006.49,165576.2305,0,0
2017-06-01,1715,215314.3677,974402.071,170463.7931,0,0
2017-07-01,1748,229007.1432,1027576.399,152944.3454,0,0
2017-08-01,1762,224804.3321,1046827.744,158825.3117,0,0
2017-09-01,1802,221187.185,1015978.21,162752.1194,0,0
2017-10-01,1826,239477.7859,1064930.389,182885.3914,0,0
2017-11-01,1844,235202.0896,989008.9252,179728.4612,0,0
